,name,CAS,smiles,Incineration,Recycling,Bio-treatment,VOC emissions,Environment - water,Environment - air,Health,Exposure,Flamability,Stability,waste_score,environment_score,health_score,safety_score,total_score
23,N-Methyl-pyrrolidin-2-one,872-50-4,CN1CCCC1=O,3,4,3,10,10,6,1,9,9,9,4.355877174692863,7.745966692414834,3.0,9.0,5.493874744114113
24,Propylene carbonate,108-32-7,CC1COC(=O)O1,4,5,6,10,10,10,10,10,10,10,5.885661912765424,10.0,10.0,10.0,8.758885072168349
25,Nitromethane,75-52-5,C[N+](=O)[O-],2,1,4,6,6,8,7,5,7,1,2.632148025904985,6.928203230275509,5.916079783099616,2.6457513110645907,4.110347052181656
26,Ethyl acetate,141-78-6,CCOC(C)=O,5,6,5,4,9,5,10,7,5,10,4.949232003839765,6.708203932499369,8.366600265340756,7.0710678118654755,6.6572447357124975
27,Methyl ethyl ketone,78-93-3,CCC(C)=O,5,5,3,4,8,4,10,6,5,9,4.161791450287817,5.656854249492381,7.745966692414834,6.708203932499369,5.91404052632504
28,1-Butanol,71-36-3,CCCCO,6,7,5,8,9,3,7,7,8,9,6.402171745887359,5.196152422706632,7.0,8.48528137423857,6.667198304732312
29,2-Propanol,67-63-0,CC(C)O,5,5,3,5,8,7,10,6,6,8,4.400558683966967,7.483314773547883,7.745966692414834,6.928203230275509,6.483723986746771
30,Chloroform,67-66-3,ClC(Cl)Cl,3,9,5,3,7,5,4,1,5,10,4.486046343663661,5.916079783099616,2.0,7.0710678118654755,4.401525213096705
31,n-Pentane,109-66-0,CCCCC,10,10,4,1,3,6,10,5,2,10,4.472135954999579,4.242640687119285,7.0710678118654755,4.47213595499958,4.949232003839765
32,Dichloromethane,75-09-2,ClCCl,2,10,4,1,8,6,7,4,4,10,2.9906975624424406,6.928203230275509,5.291502622129181,6.324555320336759,5.131573239667126
33,Benzene,71-43-2,c1ccccc1,9,6,6,4,7,5,1,1,3,10,6.0,5.916079783099616,1.0,5.477225575051661,3.734104563103068
34,Tetrahydrofuran,109-99-9,C1CCOC1,5,5,2,3,9,3,7,5,4,6,3.499635511580583,5.196152422706632,5.916079783099616,4.898979485566356,4.791385176957271
35,Mesitylene,108-67-8,Cc1cc(C)cc(C)c1,10,8,7,8,3,3,7,8,6,10,8.181246978470094,3.0,7.483314773547883,7.745966692414834,6.141544446980825
36,Water,7732-18-5,O,4,2,4,6,10,8,10,9,8,10,3.7224194364083982,8.94427190999916,9.486832980505138,8.94427190999916,7.290530601480764
37,t-Butanol,75-65-0,CC(C)(C)O,5,5,3,5,9,7,7,5,6,10,4.400558683966967,7.937253933193772,5.916079783099616,7.745966692414834,6.325166101566699
38,t-Butyl methyl ether,1634-04-4,COC(C)(C)C,7,8,4,2,7,5,7,4,3,9,4.600653267582412,5.916079783099616,5.291502622129181,5.196152422706632,5.230324158425241
39,2-Methoxyethanol,109-86-4,COCCO,4,5,4,7,10,5,1,2,8,6,4.864598558195574,7.0710678118654755,1.4142135623730951,6.928203230275509,4.284665339765966
40,Isoamyl alcohol,123-51-3,CC(C)CCO,7,8,6,8,9,3,10,9,9,9,7.200411487357017,5.196152422706632,9.486832980505138,9.0,7.517972635180733
41,"1,2-Dimethoxyethane",110-71-4,COCCOC,4,4,3,5,8,7,1,4,4,6,3.9359793425308607,7.483314773547883,2.0,4.898979485566356,4.121645257462457
42,Diisopropyl ether,108-20-3,CC(C)OC(C)C,9,7,6,3,5,4,10,6,4,3,5.803009260803008,4.47213595499958,7.745966692414834,3.4641016151377544,5.136988901412334
43,Solketal,100-79-8,CC1(C)OCC(CO)O1,6,5,5,10,4,6,4,8,10,10,6.223329772884783,4.898979485566356,5.656854249492381,10.0,6.444301578333063
44,d-Limonene,5989-27-5,C=C(C)C1CC=C(C)CC1,10,8,7,9,3,3,4,7,5,10,8.425731861221042,3.0,5.291502622129181,7.0710678118654755,5.545595985790525
45,"1,2-Dichlorobenzene",95-50-1,Clc1ccccc1Cl,4,8,6,7,1,6,7,6,8,10,6.054800208070183,2.449489742783178,6.48074069840786,8.94427190999916,5.414848002476297
46,Sulpholane,126-33-0,O=S1(=O)CCCC1,3,5,5,10,6,6,1,10,10,10,5.233175696960528,6.0,3.1622776601683795,10.0,5.613440731134346
47,Triethylamine,121-44-8,CCN(CC)CC,4,4,1,5,8,3,4,3,5,6,2.9906975624424406,4.898979485566356,3.4641016151377544,5.477225575051661,4.083262892640373
48,Dimethyl carbonate,616-38-6,COC(=O)OC,4,3,5,5,9,7,10,6,6,10,4.161791450287817,7.937253933193772,7.745966692414834,7.745966692414834,6.672298384944014
49,Isobutanol,78-83-1,CC(C)CO,6,3,5,7,10,6,7,7,8,9,5.009970139234591,7.745966692414834,7.0,8.48528137423857,6.928971303501658
50,1-Propanol,71-23-8,CCCO,5,3,3,6,10,4,10,7,8,10,4.053600464421104,6.324555320336759,8.366600265340756,8.94427190999916,6.61822057693441
51,Methyl acetate,79-20-9,COC(C)=O,4,7,3,2,9,6,10,6,4,10,3.600205743678508,7.3484692283495345,7.745966692414834,6.324555320336759,6.000085724695515
