,SMILES,Price_EUR_10g
2598,COc1cc(CCC(=O)O)cc(OC)c1,24
2603,COc1ccc(C)c(N)c1,88
2616,NC(CC(=O)O)c1cccc(Br)c1,76
2623,COC(=O)C(CBr)CBr,82
2661,Cc1ccnc(Br)c1,30
2664,O=C(O)CC12CC3CC(CC(O)(C3)C1)C2,82
2668,Cl.N=C(N)NC(=N)Nc1ccc(F)c(Cl)c1,58
2675,Cc1ccc(CC(=O)O)cc1C,96
2690,O=C(O)c1cc([N+](=O)[O-])cnc1O,69
2717,CCc1cccc(N=C=S)c1,93
2745,S=C=Nc1cccc(Br)c1,84
2746,Oc1cccc(N2CCNCC2)c1,51
2767,CCOC(=O)c1cn[nH]c1,21
2777,CNCc1ccc(OC)cc1,79
2794,CCOC(=O)C(C(=O)OCC)C(C)C,33
2804,O=C(O)c1cc(Cl)ccc1F,30
2820,N#Cc1cccc(CCl)c1,44
2825,c1ccc2sccc2c1,30
2836,CC(=O)c1c(Cl)ccc(F)c1Cl,30
2842,O[C@@H]1CCNC1,33
2851,O=C1NC2C=CC1C2,33
2855,Cc1ccc(F)cc1Br,30
2862,N=c1nc(S)ss1,48
2877,Cl.NNc1cccc(Br)c1,45
2883,Cn1ccc(N)n1,76
2912,O=C(O)c1ccc(CCl)cc1,30
2932,CC(=O)c1ccc(F)c(Br)c1,31
2938,Cl.NC1CCC(O)CC1,35
3001,OCc1ccsc1,38
3012,O=[N+]([O-])c1ccc2c(c1)CCN2,39
3049,CN1CCC(N)CC1,35
3072,O=C(O)c1cnn(-c2ccc(Cl)cc2)c1C(F)(F)F,83
3103,O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F,30
3106,O=[N+]([O-])c1ccc(Br)nc1,39
3117,Cc1cc(C)c(N)c(C(=O)O)c1,51
3119,O=Cc1cc([N+](=O)[O-])ccc1O,30
3125,N#Cc1ccccc1[N+](=O)[O-],53
3126,COc1ccccc1Cl,30
3129,Cl.NCC(N)=O,30
3130,COC(=O)CCc1ccccc1,21
3132,Nc1cc(Br)cc(C(F)(F)F)c1,30
3134,O=[N+]([O-])c1cc(F)ccc1Br,30
3135,O=C(O)COc1ccccc1F,52
3137,COC(=O)C(N)c1ccccc1.Cl,48
3138,OB(O)c1cnc2ccccc2c1,29
3140,N#CCOc1ccc(Cl)cc1,36
3147,Cl.O=C1CCCN(Cc2ccccc2)C1,63
3150,COc1cc(F)ccc1[N+](=O)[O-],30
3153,c1cnc2c(c1)CCCC2,30
3154,CCCCOCCCl,68
3159,N#Cc1ccc(O)cc1F,41
3162,O=C(O)c1ccc(F)nc1,53
3165,NCc1ccc(F)cc1F,41
3170,CNCC(=O)OC.Cl,33
3180,Nc1ccc(C(=O)O)cc1F,40
3182,Cl.Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1,55
3189,CCCCC(Br)C(=O)OC,30
3190,O=C(O)c1cc(F)cc(Br)c1,36
3194,CC1=NNC(=O)CC1,44
3202,Cc1ccc(O)c(C=O)c1,34
3207,CCOC(=O)C(CO)(CO)C(=O)OCC,30
3208,CC(=O)Nc1ccc(Cl)c(N)c1,59
3211,CC(=O)c1cccc(C(=O)O)c1,60
3221,COc1cc(C(=O)O)ccc1OCC(C)C,86
3222,CCCCC(=O)NN,35
3225,O=C(O)[C@H](O)c1ccccc1Cl,30
3227,Cc1c(F)cccc1[N+](=O)[O-],30
3228,COC(=O)C(N)CC(C)C.Cl,30
3231,Fc1ccc(F)c(CCl)c1,31
3233,Cc1cc(C(=O)O)n(C)n1,78
3235,Cc1nc(CCl)cs1.Cl,90
3236,COc1cc(C(=O)O)ccc1F,71
3237,Cl.NCCC(N)=O,51
3246,O=C1CCOCC1,26
3255,CC(=O)c1ccc(C(F)(F)F)cc1,30
3258,Cc1ccc(N)cc1O,30
3265,Clc1ccc2ncccc2c1,49
3266,CCCc1ncc[nH]1,30
3267,O=C(O)c1cccc(F)c1Cl,45
3275,CC1C(=O)Nc2ccccc21,56
3277,Cc1cc(Br)cc(C)c1N,30
3287,C1CCN(C2CCNCC2)C1,95
3290,CCc1ccccc1NN.Cl,41
3293,Cc1c[n+]([O-])ccc1[N+](=O)[O-],38
3296,CNC(C)c1ccccc1.Cl,73
3297,COC(=O)CC(C(C)=O)C(=O)OC,29
3299,OCCC1CCCCC1,30
3302,O=S(=O)(Cl)c1ccc(F)c(C(F)(F)F)c1,50
3304,NCc1c(F)cccc1Cl,94
3305,O=S(=O)(Cl)c1cccc2cccnc12,73
3306,COC(=O)CCN.Cl,30
3308,NC(CCO)c1ccccc1,56
3309,Cc1cc(Br)ccc1C(=O)O,44
3311,Nc1ccc(O)cc1[N+](=O)[O-],30
3314,Cl.Cl.Nc1ccc(CN2CCOCC2)cc1,77
3318,Cl.ClCc1ccncc1,30
3322,O=[N+]([O-])c1ccc(F)c(Br)c1,30
3323,CCOC(=O)c1c[nH]nc1C(F)(F)F,89
3324,CC(=O)c1ccc(F)c(Cl)c1,30
3325,CC(=O)c1nccs1,30
3329,O=[N+]([O-])c1ccc2cc[nH]c2c1,76
3331,CC(C)(C)OC(=O)CBr,30
3333,O=S(=O)(n1ccnc1)n1ccnc1,35
3335,Nc1cccc(F)c1F,58
3338,COc1c(N)cccc1Cl,96
3339,O=[N+]([O-])c1ccccc1OC(F)F,61
3340,N#Cc1cc(F)cc(F)c1,30
3341,CCCCCCCCC(=O)CCCCCCCC,67
3342,O=C1CCc2cc(F)ccc21,39
3348,Nc1ccc(Cn2cncn2)cc1,21
3350,O=c1nc[nH]c2nc[nH]c12,26
3358,O=C(O)c1ccc(Br)cc1Cl,36
3359,COC(CBr)OC,26
3362,OCCCCCCl,31
3364,CC(C)(C)c1cc(N)on1.Cl,90
3365,Cc1ccc(C(=N)N)cc1.Cl,86
3366,CCOC(=O)CC(=O)CC,49
3368,O=C(O)c1ccc2c(c1)CCO2,99
3369,CCN1CCNC(=O)C1=O,40
3371,OCc1ccccc1O,30
3376,Cc1noc(C)c1N,67
3380,O=C(O)c1ccc(F)cc1C(F)(F)F,35
3381,c1ccc(-c2cc[nH]n2)cc1,56
3384,CCOC(=O)C1COc2ccccc2O1,30
3387,CCc1nc2ccccc2[nH]1,36
3390,O=S(=O)(O)c1ccc(O)cc1,21
3392,Nc1ccc(Cl)nn1,30
3394,CC(=O)Oc1cccc(C(=O)O)c1,44
3395,COc1ccccc1OCCN.Cl,35
3398,Cc1c([N+](=O)[O-])cccc1C(F)(F)F,59
3400,FC(F)(F)c1cccc(Cl)n1,30
3401,Clc1cc(Cl)cc(I)c1,26
3406,Cc1ccc(Cl)c([N+](=O)[O-])c1,30
3418,CCOC(=O)C(=O)C(F)(F)F,30
3424,Cl.NC(=O)C1CCCCN1,67
3425,O=C(O)c1cscn1,35
3433,COC(=O)CSC,39
3436,NCC(O)CO,26
3447,COC(=O)c1ccccn1,31
3455,COc1ccc(Br)cc1F,30
3463,O=C(O)c1ccc(C(=O)O)s1,30
3466,O=Cc1cc(F)ccc1O,46
3472,CCOC(=O)c1cc(C)n[nH]1,63
3477,Cn1nccc1N,59
3480,NC(=O)c1cc(N)ccc1F,90
3485,CCOC(=O)C#N,49
3486,NC1(C(=O)O)CCCC1,54
3489,BrC1C=CCCC1,71
3490,N#Cc1ccc(F)c(Cl)c1,30
3492,Nc1cc(Cl)cnc1N,89
3493,c1ccc2[nH]ncc2c1,39
3502,Oc1cc(C(F)(F)F)nc(S)n1,45
3505,O=[N+]([O-])c1ccc(Cl)c(O)c1,46
3511,OB(O)c1cc(F)c(F)c(F)c1,30
3518,CCOC(CC)OCC,29
3519,CC(C)(C)c1ccc(C(=O)CCl)cc1,34
3532,CCOC(=O)C1CCCNC1=O,36
3533,CC1CCC(=O)N1,53
3534,O=[N+]([O-])c1cnccc1Cl,89
3537,O=Cc1ccc(O)c(Cl)c1,45
3541,O=C1[N-]C(=O)c2ccccc21.[K+],30
3550,OCCOCc1ccccc1,30
3554,NC1c2ccccc2-c2ccccc21,94
3560,Clc1ccc2cc[nH]c2c1,36
3562,NC(CC(=O)O)c1ccccc1,41
3589,COc1ccc(C(=O)O)c(F)c1,88
3591,Cc1nc2cc(Cl)ccc2s1,39
3601,O=CC1CCC=CO1,26
3604,NC(=O)NCC(=O)O,88
3609,C1CCC2NCCCC2C1,80
3613,CN(N)C(N)=S,66
3617,Brc1cscc1Br,30
3621,COC(=O)CCCCCN.Cl,69
3624,COC(=O)c1ccc(CN)cc1.Cl,48
3631,Cc1cccc(N)c1C(=O)O,48
3645,O=C1C=CCO1,69
3679,COCC#N,46
3693,O=C(c1ccc[nH]1)C(Cl)(Cl)Cl,30
3696,O=CC1CC1,54
3712,CC(=O)c1ccc(F)c(F)c1,30
3724,Cc1cc[nH]c(=O)c1[N+](=O)[O-],45
3741,Cc1cc(O)no1,46
3746,CNc1ccc(O)cc1.CNc1ccc(O)cc1.O=S(=O)(O)O,26
3754,Fc1ccccc1S,41
3765,Cc1cccc(C(=O)O)c1N,30
3768,COC(=O)c1cccc(CBr)c1,54
3792,O=C(O)c1ccc(F)cc1Br,30
3820,Clc1nsc2ccccc12,30
3826,NCc1ccccc1C(F)(F)F,39
3827,O=C(O)c1cccc(F)c1F,40
3828,O=C(O)C1(c2ccc(F)cc2)CCCC1,78
3836,Cc1ccc(NC(N)=S)cc1,45
3842,NC(=S)c1ccccn1,48
3844,O=C(O)Cc1ccccc1C(F)(F)F,39
3860,N#CCc1ccc(N)cc1,30
3862,COc1ccc2[nH]ccc2c1,31
3873,CNC(=O)c1ccc(N)cc1,31
3908,CC(=O)c1cc(F)ccc1F,33
3923,CN(C)CCCC(=O)O.Cl,45
3947,C#CC(C)O,31
3955,CCOC(=O)CC(=O)Cl,41
3958,Nc1cccc(CO)c1,36
3961,NC(=O)C1CCCNC1,30
3993,CSc1ccc(C(C)=O)cc1,49
3994,Nc1ccc(F)cc1C(F)(F)F,30
3997,Nc1ccc(CN2CCOCC2)cc1,86
4022,O=[N+]([O-])c1ccccc1NCCO,21
4070,COC(=O)c1cc(O)cc(C(=O)OC)c1,21
4072,COc1ccc(Nc2ccccc2)cc1,44
4083,COc1cc(C#N)ccc1O,30
4085,Cc1cccc(C)c1NC(N)=S,40
4087,OCCc1ccsc1,68
4094,COCC(=O)OC,26
4111,Cc1cc(C)c(CO)c(C)c1,86
4112,O=[N+]([O-])c1ccc(Cl)nc1Cl,30
4142,OC1CCOCC1,60
4151,O=Cc1c(F)cccc1F,39
4159,COc1ccc2cc(C=O)ccc2c1,30
4160,C=Cc1ccc(Br)cc1,40
4164,COc1ccc(NC(C)=O)cc1,21
4167,Nc1cc(Br)ccc1Br,35
4175,O=Cc1ccc(F)c(F)c1,30
4181,Cc1ccc([N+](=O)[O-])c(C(=O)O)c1,30
4187,O=C(O)c1nccc2ccccc12,33
4209,CS(=O)(=O)c1ccc(C(=O)O)cc1,30
4218,CSC1=NCCN1.I,56
4227,O=C(O)c1cccc(-n2cnnn2)c1,92
4274,CC(C)(C)NN.Cl,30
4276,CNCCN(C)C,55
4292,Nc1c(Cl)cccc1C(F)(F)F,25
4293,COc1ccc(S(N)(=O)=O)cc1C(=O)O,21
4303,COc1ccc(NC(C)=O)cc1N,30
4335,ClCC1CCCO1,68
4336,Nc1ccc(F)cc1C(=O)O,30
4341,O=C(CCl)c1ccc(F)cc1F,30
4355,O=S(=O)(Cl)c1ccccc1Br,81
4371,BrCC1CCCO1,36
4372,COc1ccccc1Br,30
4378,O=C1NCCS1,33
4400,Cn1ccnc1C(=O)O,80
4408,O=S(=O)(Cl)c1ccc(Cl)s1,49
4417,CNCc1ccc(C)cc1,60
4433,O=c1[nH]cccc1[N+](=O)[O-],36
4455,Fc1ccc(S)cc1,26
4479,O=C(Cl)c1cccc(F)c1,26
4491,CSCC#N,51
4493,CC(=O)C(C)C(C)=O,43
4513,N#Cc1ccc(C(=O)CBr)cc1,48
4521,O=Cc1ccc(OC(F)(F)F)cc1,30
4554,CCOC(=O)c1c[nH][nH]c1=N,33
4559,O=Cc1ccccc1OC(F)(F)F,36
4562,Cc1cc(N)c(N)cc1C,65
4577,O=[N+]([O-])CCO,49
4584,CCOC(=O)c1c[nH]n(C)c1=N,40
4587,CCOC(=O)CCCCCBr,30
4596,CNc1ccc(C(=O)O)cc1[N+](=O)[O-],26
4600,N#Cc1cccc(C=O)c1,30
4619,Cl.O=C(O)Cc1ccccn1,56
4626,COc1ccc(C=O)c(O)c1,30
4635,Cc1nc(=O)cc(N)[nH]1,71
4643,CC(N)=NO,50
4649,Nc1nc2ccc(OC(F)(F)F)cc2s1,35
4652,Nc1[nH]nc2ncccc12,81
4674,Cc1cccc2cccnc12,36
4675,N#CC1=C(N)CCC1,51
4689,CN1C(=O)C=CC1=O,68
4700,O=C(O)CCc1ccccc1F,76
4707,BrCCOCCBr,36
4708,N#Cc1ccc(CBr)c(F)c1,76
4709,O=Cc1csc2ccccc12,64
